name,latitude,longitude,cuisine,phone,website,opening_hours,street,house_number,city,amenity,brand,operator,category
Bill's Bar & Burger,40.7593743,-73.9775501,burger,+1 212-331-0328,https://www.billsbarandburger.com/,,West 51st Street,16,New York,restaurant,,,restaurant
Big Daddy's Diner,40.7379106,-73.987753,american,+1-212-477-1500,https://www.bigdaddysnyc.com/,Mo-Th 08:00-12:00; Fr-Sa 08:00-05:00; Su 08:00-23:00,Park Avenue South,239,,restaurant,,,restaurant
Grimaldi's Pizza,40.741183,-73.9937782,pizza,+1-646-484-5665,https://www.grimaldis-pizza.com/,,,,,restaurant,,,restaurant
T & J Jamaican Flava,40.7872731,-73.9517102,caribbean,+1 212-860-8603,,06:00-20:00,Park Avenue,1257,,restaurant,,,restaurant
The District Bar & Restaurant,40.7839008,-73.950022,,+1 212-289-2005,http://thedistrictbarnyc.com,"Mo-Fr 11:00-04:00; Sa, Su 10:00-04:00",3rd Avenue,1679,,restaurant,,,restaurant
Joselito Bar,40.724159,-73.9759768,,,,,Avenue D,125,New York,restaurant,,,restaurant
Balthazar,40.7226578,-73.9981644,french,,,,Spring Street,80,,restaurant,,,restaurant
Blue Ribbon,40.7261431,-74.0025063,"american, japanese",,,,Sullivan Street,119,New York,restaurant,,,restaurant
Lil' Frankies,40.7235847,-73.9884552,"italian, pizza",+1-212-420-4900,https://www.lilfrankies.com/,Mo-Th 11:00-02:00; Fr-Sa 11:00-04:00; Su 11:00-02:00,1st Avenue,19,New York,restaurant,,,restaurant
The Dutch,40.7265551,-74.0021692,,,,,Sullivan Street,131,,restaurant,,,restaurant
The Grey Dog,40.7229657,-73.99576,"sandwich, salad, brunch",+1-212-966-1060,https://www.thegreydog.com/location/the-grey-dog-nolita/,Mo-Su 08:00-21:00,Mulberry Street,244,,restaurant,,,restaurant
Wan Wan,40.7217467,-73.9964556,thai,+1-212-888-6278,https://www.wanwannyc.com/,"Mo-We 11:30-15:00,17:00-22:00; Th-Fr 11:30-15:00,17:00-23:00; Sa 12:00-15:00,17:00-23:00; Su 12:00-15:00,17:00-22:00",Mulberry Street,209,New York,restaurant,,,restaurant
Café Habana,40.7228449,-73.9942284,cuban,+1-212-625-2001,https://www.cafehabana.com/menu/cafe-habana-nyc/,Mo-Su 10:00-23:00,Prince Street,17,New York,restaurant,,,restaurant
Arthur & Sons,40.7493521,-73.9767192,italian,,https://arthurandsonsnyc.com/pages/murray-hill,Su-Th 17:00-22:00; Fr-Sa 17:00-23:00,East 34th Street,145,New York,restaurant,,,restaurant
Burger & Lobster,40.7400891,-73.993461,"burger, seafood",,https://burgerandlobster.com/,,,,,restaurant,Burger & Lobster,,restaurant
Phoenix Garden,40.7487201,-73.9738553,chinese,,http://www.phoenixgardennyc.com/,,East 40th Street,242,New York,restaurant,,,restaurant
Saints and Sinners,40.7456627,-73.9045526,pub,,,,Roosevelt Avenue,5921,Woodside,restaurant,,,restaurant
Chan's Kitchen,40.8557131,-73.9333898,chinese,,,Mo-Su 12:00-23:30,Broadway,4421,New York,restaurant,,,restaurant
La Cabana Salvadorena,40.8542688,-73.9334615,regional,,,Mo-Su 10:30-20:00,Broadway,4384,New York,restaurant,,,restaurant
Chez Messy,40.8344857,-73.9451934,spanish,,,,Edward M. Morgan Place,5,New York,restaurant,,,restaurant
La Libertad,40.8334187,-73.9450216,"salvadoran, italian",,,,,,,restaurant,,,restaurant
The Original John's Deli,40.5971145,-73.9850909,"sandwich, italian",+1 718-372-7481,https://www.theoriginaljohnsdeli.com/,Mo-Sa 08:00-22:00; Su 08:00-21:00,Stillwell Avenue,2033,,restaurant,,,restaurant
Coral Diner,40.8348921,-73.9446221,diner,,,,Broadway,3801,New York,restaurant,,,restaurant
Bill's Bar & Burger,40.7402703,-74.0056248,burger,+1 212-414-3003,https://www.billsbarandburger.com/,,9th Avenue,22,New York,restaurant,,,restaurant
7 Old Fulton,40.7029414,-73.9938932,international,+1-718-797-0007,,,Old Fulton,7,Brooklyn,restaurant,,,restaurant
Speedy Romeo,40.6875033,-73.9598708,pizza,,https://speedyromeo.com/,,Classon Avenue,376,Brooklyn,restaurant,,,restaurant
Stage Door Deli,40.7120307,-74.0097553,pizza,+1-212-791-5252,,,Vesey Street,26,New York,restaurant,,,restaurant
Blue Bay Diner,40.7439554,-73.7763318,,(718) 225-6333,,,Francis Lewis Boulevard,5850,Flushing,restaurant,,,restaurant
Arunee Thai,40.7495394,-73.8874309,thai,,,,,,,restaurant,,,restaurant
Uptown Veg,40.8055163,-73.9405433,american,+1-212-987-2660,https://uptownvegnyc.com/,Su-Sa 10:00-20:00,East 125th Street,52,New York,restaurant,,,restaurant
Poke Burrito,40.7646147,-73.9161867,hawaiian,,,,30th Avenue,37-07,Astoria,restaurant,,,restaurant
Olivier Bistro,40.6688126,-73.9897325,"french, breakfast, brunch",+1-718-768-6600,http://olivierbistro.com,"Mo-Th 17:00-22:30, Fr 11:00-23:00; Sa 10:00-23:00; Su 10:00-22:00",4th Avenue,469,Brooklyn,restaurant,,,restaurant
Kyuramen,40.7329227,-73.9867234,,+1-646-692-4120,https://www.kyuramen.com,"Su-Th 11:00-22:30; Fr,Sa 11:00-23:30",East 14th Street,210,New York,restaurant,,,restaurant
Yaki Sushi,40.7329802,-73.9860274,sushi,+1-929-468-7888,,"Mo-Fr,Su 11:00-22:00",East 14th Street,225,New York,restaurant,,,restaurant
For U,40.7341491,-73.9862974,chinese,+1-646-822-3530,https://www.foru155.com,Mo-Th 11:00-22:00; Fr-Sa 11:00-22:30; Su 11:00-22:00,3rd Avenue,155,New York,restaurant,,,restaurant
Kati,40.7316957,-73.9829911,thai,+1-212-533-2046,https://katithai.com/,Mo-Sa 12:00-22:30; Su 16:00-22:30,East 14th Street,347,New York,restaurant,,,restaurant
South Slope Restaurant & Bar,40.6678148,-73.9876435,diner,+1-718-499-0005,https://www.southslopeeatery486.com,Mo-Sa 09:00-21:00; Su 09:00-19:00,,,,restaurant,,,restaurant
Rainbowberry Frozen Yogurt,40.7496805,-73.886065,ice_cream,,,,37th Avenue,80-01,,restaurant,,,restaurant
Just Made 4 U,40.7497307,-73.8855944,,,,,37th Avenue,80-21,,restaurant,,,restaurant
Jahn's,40.7495626,-73.8850034,diner,,,,,,,restaurant,,,restaurant
Jackson House Restaurant,40.7496945,-73.8837227,,,,,37th Avenue,82-14,,restaurant,,,restaurant
Pollos a la Brasa Mario,40.749741,-73.8832269,colombian,+17184578800,https://www.pollosmario83.com,,37th Avenue,83-02,Jackson Heights,restaurant,,,restaurant
Las Margaritas,40.7498091,-73.8825927,,,,,37th Avenue,83-22,,restaurant,,,restaurant
Thomas Pizza,40.7497543,-73.8831089,pizza,,,,37th Avenue,83-06,,restaurant,,,restaurant
Abdullah Sweets,40.7487688,-73.8924472,"regional, bengali",,,,37th Avenue,73-06,Jackson Heights,restaurant,,,restaurant
Sotto 13,40.7372924,-73.9991162,pizza,,,,,,,restaurant,,,restaurant
Los Papi's,40.7021022,-73.9845254,,,,,,,,restaurant,,,restaurant
Calexico,40.6742831,-73.9822458,mexican,+1-347-254-7644,https://www.calexico.com/location/park-slope/,Mo-Su 12:00-22:00,5th Avenue,278B,,restaurant,,,restaurant
Bonnie's Grill,40.6743282,-73.982202,"american, breakfast",+1-718-369-9527,https://www.eatatbonnies.com,Mo-Su 09:00-22:00,5th Avenue,278,Brooklyn,restaurant,,,restaurant
St. George Tavern,40.7084159,-74.0142036,,+12122409868,,Su-Th 06:30-18:00; Fr-Sa 06:30-02:00,Washington Street,103,New York,restaurant,,,restaurant
The Cauldron,40.7043498,-74.0104603,british,+1 212-480-8142,https://thecauldron.io/nyc/dine,Mo-We 11:00-21:00; Th-Sa 11:00-23:00; Su 11:00-20:00,Stone Street,47,New York,restaurant,,,restaurant
Aloha Alley,40.7027939,-73.9908031,hawaiian,,,,Main Street,40,Brooklyn,restaurant,,,restaurant
Leonetta,40.7445472,-73.9808994,mediterranean,,https://www.leonettanyc.com/,Mo-Su 09:00-21:00,Lexington Avenue,181,New York,restaurant,,,restaurant
Takahachi,40.7165871,-74.0079257,japanese,,,"Su-Th 12:00-14:30, 17:30-22:30; Fr-Sa 17:30-23:00",Duane Street,145,New York,restaurant,,,restaurant
Harry's Italian,40.7075376,-74.0068533,"italian, pizza, pasta",,https://www.harrysitalian.com/,,Gold Street,2,New York,restaurant,,,restaurant
Emmy Squared,40.771011,-73.9874576,pizza,+1-929-989-3669,https://www.emmysquaredpizza.com/location/midtown-west-new-york-ny/,,West 60th Street,200,New York,restaurant,,,restaurant
Justino's Pizza,40.7695822,-73.9884521,pizza,+1 212-582-1222,https://www.justinospizzanyc.com/,10:00-23:30,10th Avenue,881,New York,restaurant,,,restaurant
Halal,40.7699473,-73.9881217,international,,,,10th Avenue,891,New York,restaurant,,,restaurant
The Jin,40.7685706,-73.9887358,korean,+1-212-223-3488,https://www.thejinnyc.com,"Mo-We 11:30-15:00,17:00-22:00; Th-Sa 11:30-15:00,17:00-23:00; Su 13:00-21:00",10th Avenue,856,New York,restaurant,,,restaurant
Beijing,40.7686619,-73.9886693,chinese,+1-212-262-6162,,10:00-23:00,10th Avenue,860,New York,restaurant,,,restaurant
Omakase 33,40.7454859,-73.9793446,japanese,,,,,,,restaurant,,,restaurant
Le Parisien,40.7454071,-73.9791565,french,+1-212-889-5489,https://www.leparisiennyc.com,,East 33rd Street,163,New York,restaurant,,,restaurant
Cask,40.745353,-73.9790274,american,,https://www.casknyc.com/,,,,,restaurant,,,restaurant
Phoshime,40.7453806,-73.9790932,"vietnamese, sushi",+1-917-815-1661,https://www.phoshime.com,Mo-Th 11:30-23:00; Fr-Sa 11:30-24:00; Su 11:30-23:00,,,,restaurant,,,restaurant
2nd Ave Deli,40.7451818,-73.9791899,,+1 212-689-9000,https://2ndavedeli.com,Mo-Su 11:00-20:00,East 33rd Street,162,,restaurant,,,restaurant
Dolores,40.6838525,-73.9438589,,,https://www.doloresbk.com,"We-Th 16:00-24:00, Fr-Sa 16:00-01:00, Su 16:00-24:00",Tompkins Avenue,397,,restaurant,,,restaurant
Izakaya Tenzo,40.6863711,-73.954677,japanese,+13472402016,https://izakayatenzo.com,Tu-Su 17:00-22:30,Bedford Avenue,1116,Brooklyn,restaurant,,,restaurant
Pomp & Circumstance,40.7142599,-73.9495378,"mediterranean, brunch",(718) 387-4861,,,Lorimer Street,578,Brooklyn,restaurant,,,restaurant
Shiro,40.7139261,-73.9499959,"sushi, japanese",+1-646-375-4880,http://sushishironyc.com,"Mo-Th 11:30-22:30, Fr 11:30-23:30, Sa 12:00-23:30, Su 12:00-22:00",Metropolitan Avenue,568,Brooklyn,restaurant,,,restaurant
Sumner Cafe,40.6806646,-73.9374162,,,,,Decatur Street,144,Brooklyn,restaurant,,,restaurant
Baron's,40.690974,-73.9538595,american,+1-718-230-7100,https://barons-brooklyn.com,"We-Fr 18:00-22:00; Sa 11:00-15:00,18:00-22:00; Su 11:00-15:00",DeKalb Avenue,564,Brooklyn,restaurant,,,restaurant
L'Antagoniste,40.685021,-73.9296624,french,,,,,,,restaurant,,,restaurant
Garnacha Bite,40.6832763,-73.9382816,,,,,Halsey Street,361,,restaurant,,,restaurant
Pio Pio,40.7453465,-73.9776289,peruvian,+1 212-481-0034,https://www.piopio.com/locations/kips_bay.html,Mo-Su 11:00-23:00,East 34th Street,210,,restaurant,,,restaurant
Nom Nam,40.7453284,-73.9775857,vietnamese,+1-332-268-4788,https://www.nomnamnyc.com,"Mo-Th 11:30-15:30,17:00-21:00; Fr 11:30-21:30; Sa 12:00-21:30; Su 12:00-21:00",,,,restaurant,,,restaurant
Mira,40.7454038,-73.9777651,mediterranean,,https://miranyc34.com,,,,,restaurant,,,restaurant
Hart's,40.6814612,-73.9558777,american,+1-718-636-6228,https://www.hartsbrooklyn.com,Tu-Sa 17:30-22:30,,,,restaurant,,,restaurant
Shokudo,40.7460811,-73.9794459,japanese,+1-646-678-3228,https://www.shokudonyc34.com,Mo-Sa 11:30-23:00; Su 11:30-22:00,,,,restaurant,,,restaurant
Super Pollo,40.680154,-73.8929493,"latin_american, chicken",+1-718-647-7800,https://superpollo.nyc,Mo-Th 11:00-22:00; Fr-Su 11:00-23:00,Jamaica Avenue,188,Brooklyn,restaurant,,,restaurant
Elite Food Bar,40.7531876,-73.9681205,greek,,,,,,,restaurant,,,restaurant
Parisi Bakery,40.7621666,-73.9254791,"bakery, sandwich",+1 718-728-5288,,,,,,restaurant,,,restaurant
Three E- Taste of Thai,40.7604886,-73.9225318,thai,,,,,,,restaurant,,,restaurant
Sac's,40.7565846,-73.9247804,pizza,,,,35th Avenue,35-11,Astoria,restaurant,,,restaurant
Poco,40.722528,-73.9828993,tapas,(212)228-4461,https://www.poconyc.com/,Tu-Fr 17:00-22:00; Sa-Su 11:00-23:00,Avenue B,33,,restaurant,,,restaurant
Carnitas Ramirez,40.7224776,-73.982765,mexican,,,,East 3rd Street,210,New York,restaurant,,,restaurant
Maretta,40.7223864,-73.9830235,,,,,Avenue B,27,New York,restaurant,,,restaurant
La Loteria,40.7307928,-74.004204,mexican,,,,7th Avenue South,29,New York,restaurant,,,restaurant
Meskerem,40.7299814,-74.0003769,ethiopian,,,,MacDougal Street,124,New York,restaurant,,,restaurant
Tikka Indian Grill,40.714407,-73.9607584,indian,,,,Grand Street,185,Brooklyn,restaurant,,,restaurant
Qi Thai Grill,40.7186299,-73.9562472,thai,,,,North 9th Street,176,Brooklyn,restaurant,,,restaurant
Miss Nellie's,40.7591136,-73.9899354,american,,,Mo-Tu 16:00-02:00; We-Fr 12:00-02:00; Sa-Su 11:00-02:00,West 44th Street,321,New York,restaurant,,,restaurant
Anjappar,40.7425648,-73.9827028,indian,,,,,,,restaurant,,,restaurant
Taste from Everest,40.7422289,-73.9829503,nepalese,+1-646-609-3006,https://www.tastefromeverestny.com/,Mo-Su 12:00-24:00,Lexington Avenue,102,New York,restaurant,,,restaurant
Bhatti,40.7421807,-73.9829817,indian,,https://www.bhattinyc.com/,,,,,restaurant,,,restaurant
Pappali,40.7423183,-73.9833132,indian,(212) 689-1999,https://www.pippalinyc.com/,,East 27th Street,129,New York,restaurant,,,restaurant
California Pizza Kitchen,40.7445423,-73.9834869,pizza,,https://www.cpk.com/locations/park-avenue-south/,,,,,restaurant,California Pizza Kitchen,,restaurant
Shih Lee's Chinese Eastery,40.751555,-73.970062,chinese,,,,,,,restaurant,,,restaurant
Yoonkao Thai,40.7450461,-73.9759245,thai,+1-646-669-8424,,Tu-Fr 11:15-22:30; Sa-Su 11:30-22:30,,,,restaurant,,,restaurant
Baby Bo's Cantina,40.7450939,-73.9758895,mexican,+1-212-779-2656,https://babyboscantina.com,Mo-Fr 11:00-23:00; Sa-Su 12:00-22:30,,,,restaurant,,,restaurant
Pio Pio,40.7605928,-73.9945435,peruvian,+1 212-459-2929,https://www.piopio.com/locations/hells_kitchen.html,"Mo-Th, Su 11:00-23:00; Fr, Sa 11:00-24:00",10th Avenue,604,,restaurant,,,restaurant
Vatan,40.742351,-73.9803456,indian,+1-212-689-5666,https://vatanny.com,Mo-Su 17:00-21:30,3rd Avenue,409,,restaurant,,,restaurant
John's Coffee Shop,40.7511092,-73.9715209,,,,"Mo-Fr 07:00-20:00; Sa, Su 07:00-15:00",2nd Avenue,823,,restaurant,,,restaurant
Sushi Time,40.7510584,-73.9715451,,,http://www.sushitimeny.com/,,,,,restaurant,,,restaurant
Luke's Lobster,40.7513492,-73.973221,seafood,+1 646-657-0066,https://lukeslobster.com/pages/midtown-east,11:00-19:00,East 43rd Street,207,New York,restaurant,,,restaurant
EONS Greek Food for Life,40.7452392,-73.9757831,greek,+1-212-696-1234,https://eonsgreek.com/location/new-york/,Mo-Su 11:00-22:00,,,,restaurant,,,restaurant
Lallisse,40.7439118,-73.9813418,,,,,,,,restaurant,,,restaurant
Pershing Square,40.7519669,-73.9777869,,,https://www.pershingsquare.com/,,,,,restaurant,,,restaurant
Comodo,40.7395891,-73.9844966,,,,,Lexington Avenue,23,New York,restaurant,,,restaurant
La Catrinas,40.761437,-73.924556,mexican,,http://www.lascatrinasnyc.com,,Broadway,32-02,,restaurant,,,restaurant
Boishaki Restaurant,40.757024,-73.93099,,,,,,,,restaurant,,,restaurant
Beija-flor,40.754568,-73.933774,,,,,,,,restaurant,,,restaurant
DK PubLIC,40.753669,-73.934503,gastropub,,,,29th Street,38-40,,restaurant,,,restaurant
Astoria Family Pizza,40.780773,-73.917031,"pizza, latin_american, mexican",+1-718-433-9601,,"Mo-Tu 10:00-22:00, We 10:00-21:30, Th-Su 10:00-22:00",,,,restaurant,,,restaurant
Mikos Souvlaki,40.780672,-73.916871,greek,+1 929 208 0196,,,,,,restaurant,,,restaurant
Sugar Factory,40.739266,-74.006605,,,,,,,,restaurant,,,restaurant
Bagatelle,40.7397042,-74.0060257,french,+1-212-488-2110,http://bagatellenyc.com,,Little West 12th Street,1,New York,restaurant,,,restaurant
Gansevoort Market,40.73927,-74.006776,,+1 (212) 242-1701,http://gansmarket.com/,Mo-Su 07:00-20:00,West 14th Street,353,,restaurant,,,restaurant
Saigon Shack,40.729691,-74.000637,"vietnamese, coffee, noodle, sandwich",+1-212-228-0588,https://saigonshack.squarespace.com/,"Mo-Th, Su 11:00-23:00; Fr, Sa 11:00-01:00",MacDougal Street,114,,restaurant,,,restaurant
First Stop Bar & Grill,40.7587851,-73.9183096,,,,,Broadway,40-17,Astoria,restaurant,,,restaurant
Peking Express,40.725883,-73.942793,chinese,+1 718-349-0869,,,Nassau Avenue,237,,restaurant,,,restaurant
Gyu-Kaku,40.748256,-73.947153,japanese,,,,21st Street,44-45,,restaurant,,,restaurant
Manetta's Ristorante,40.7427545,-73.9518864,italian,,,,,,,restaurant,,,restaurant
Mokja,40.7602676,-73.921434,korean,,,,,,,restaurant,,,restaurant
JJ's Asian Fusion,40.762084,-73.91835,japanese,,,,,,,restaurant,,,restaurant
Café Aliada,40.7625339,-73.9262068,greek,,,,,,,restaurant,,,restaurant
Bodhi,40.716357,-73.9991738,chinese,+1-212-233-2921,http://www.buddhabodhaikoshervegetarianrestaurantmulberryst.com/,Mo-Fr 10:00-22:00; Sa-Su 09:30-22:30,Mulberry Street,77,New York,restaurant,,,restaurant
Baar Baar,40.7244268,-73.9915125,indian,+1-212-228-1200,https://baarbaarnyc.com,Mo-Su 16:30-22:00,East 1st Street,13,,restaurant,,,restaurant
Casa Azul,40.6655344,-73.9825148,mexican,+1-929-337-6767,https://casaazulrestaurant.com,Mo-We 15:00-22:00; Th-Fr 13:00-22:00; Sa-Su 12:00-22:00,7th Avenue,369,,restaurant,,,restaurant
Variety Cafe,40.7073841,-74.012574,,+1-212-430-6888,,,Broadway,65,New York,restaurant,,,restaurant
Mazu,40.7452776,-73.9782286,chinese,+1-646-609-3388,http://www.mazuasian.com,Mo-Su 11:30-21:45,,,,restaurant,,,restaurant
Eleven Madison Park,40.7415982,-73.9871904,"french, american",+1 212.889.0905,https://www.elevenmadisonpark.com/,"Mo-We 17:30-22:00; Th-Su 12:00-13:00, 17:30-22:00",Madison Avenue,11,New York,restaurant,,,restaurant
Le Bernardin,40.7613945,-73.981691,"french, seafood",+1-212-554-1515,https://www.le-bernardin.com/,"Mo-Th 12:00-14:30, 17:15-22:30; Fr 12:00-14:30, 17:15-23:00; Sa 17:15-23:00",West 51st Street,155,New York,restaurant,,,restaurant
Masa,40.7685324,-73.9827663,sushi,,,,Columbus Circle,10,New York,restaurant,,,restaurant
Per Se,40.7682549,-73.9828519,"american, french",,,Mo-Su 17:30-22:00; Fr-Su 11:30-13:30,Columbus Circle,10,New York,restaurant,,Thomas Keller,restaurant
Mari Vanna,40.7387966,-73.9885656,russian,+12127771955,http://www.marivanna.ru/ny,12:00-23:30,East 20th Street,41,New York,restaurant,,,restaurant
Chloe,40.7292022,-74.001033,"burger, salad",,https://www.chloeonbleecker.com/,Tu-Su 12:00-21:00,Bleecker Street,185,New York,restaurant,,,restaurant
Aunt Bernie's,40.7459791,-73.9777094,"american, continental",+1-212-779-1800,https://www.auntbernies.com,"Mo-Tu 16:00-24:00, We-Fr 12:00-01:00, Sa 16:00-01:00, Su 16:00-24:00",,,,restaurant,,,restaurant
Estancia Piola 288,40.6773051,-73.9862959,argentinian,+1-347-294-4986,https://www.estanciapiola288.com,,,,,restaurant,,,restaurant
Cotra,40.6775422,-73.9872395,japanese,+1-845-261-3480,https://www.cotrabrooklyn.com,Tu-Su 17:00-22:00,,,,restaurant,,,restaurant
Jazz Standard,40.7422938,-73.983837,,,,,,,,restaurant,,,restaurant
Coppola's,40.7415974,-73.9813869,italian,,,,,,,restaurant,,,restaurant
Turkish Kitchen,40.7418372,-73.9812232,turkish,,,,,,,restaurant,,,restaurant
Slick Willy,40.7283287,-73.9492788,burger,,,,Meserole Avenue,179,Brooklyn,restaurant,,,restaurant
Maysville,40.7441556,-73.9895824,american,+1 646-490-8240,,,West 26th Street,17,New York,restaurant,,,restaurant
Osteria Laguna,40.7506394,-73.9737151,italian,,http://www.osterialagunanyc.com/,,East 42nd Street,209,,restaurant,,,restaurant
Ben & Jack's Steakhouse,40.7448447,-73.9869413,steak_house,,,,,,,restaurant,,,restaurant
Nomad Tea Parlour,40.7445855,-73.9875896,chinese,,https://www.nomadteaparlour.com/,,5th Avenue,244,New York,restaurant,,,restaurant
Milleseme,40.744603,-73.9854712,,,,,,,,restaurant,,,restaurant
Fresh & Co,40.7439569,-73.9833596,,,,,,,,restaurant,,,restaurant
Muna,40.7535732,-73.9734874,indian,+1 646-398-7960,,,East 46th Street,152,,restaurant,,,restaurant
Curry and Tandoor,40.7536128,-73.9735973,indian,+1 212-490-1277,,,East 46th Street,148,,restaurant,,,restaurant
Sparks Steak House,40.752923,-73.9719424,steak_house,+1-212-687-4855,https://sparkssteakhouse.com/,Mo-Fr 12:00-22:00; Sa 17:00-22:00; Su 16:30-21:00,East 46th Street,210,New York,restaurant,,,restaurant
Sushiden,40.7575093,-73.9764528,japanese,,http://sushiden.com/,,East 49th Street,19,New York,restaurant,,,restaurant
Sushiden,40.7600927,-73.9825066,japanese,,http://sushiden.com/,,West 49th Street,123,New York,restaurant,,,restaurant
Miss Lily’s,40.7260148,-73.9837501,caribbean,+1-212-812-1482,http://www.misslilysnyc.com/home,Mo-Th 17:00-22:00; Fr 17:00-02:00; Sa 12:00-03:00; Su 12:00-22:00,Avenue A,109,,restaurant,,,restaurant
Gato,40.7255749,-73.9951521,,(212)334-6400,http://gatonyc.com/,,,,,restaurant,,,restaurant
The Grey Dog,40.7406022,-74.0006577,american,,,"Su, Mo 07:00-22:30; Tu-Fr 07:00-23:30; Sa 07:30-23:30",West 16th Street,242,New York,restaurant,,,restaurant
Gemini Diner,40.7454088,-73.975659,diner,+1-212-532-2143,https://www.geminidiner.com,24/7,2nd Avenue,641,,restaurant,,,restaurant
At nine Restaurant & Bar,40.7587421,-73.9921724,thai,(212) 265 - 4499,https://www.atninenyc.com/,,,,,restaurant,,,restaurant
Pomodoro Italian Restaurant,40.7562731,-73.993975,italian,212-239-7019/3217,https://pomodoronyc.com/,Mo-Fr 11:00-22:30;Sa 11:00-22:30;Su 11:00-22:00,,,,restaurant,,,restaurant
Trattoria Casa Di Isacco,40.7568531,-73.9935485,,+1.2125945408,http://www.casadiisacconyc.com/,"Su-Th 12:00-23:00;Fr,Sa 12:00-24:00",,,,restaurant,,,restaurant
Chuck E. Cheese,40.7529557,-73.914645,pizza,,https://locations.chuckecheese.com/us/ny/longislandcity/3419-48th-st.,,,,,restaurant,Chuck E. Cheese,,restaurant
New Grand Buffet,40.7522748,-73.9148012,"chinese, italian, american, japanese",,,"Su-Th 11:15-22:00; Fr, Sa 11:15-23:00",,,,restaurant,,,restaurant
Kosan Asian Fusion,40.5864054,-73.9520516,asian,+1-718-872-7770,https://kosanny.com/,Mo-Th 11:00-22:00; Fr 11:00-23:00; Sa 12:00-23:00; Su 12:00-22:00,Sheepshead Bay Road,1657,Brooklyn,restaurant,,,restaurant
LIC Beer Project,40.7548039,-73.9392521,,+19178326840,http://www.llicbeerproject.com,We 16:00-21:00; Th-Fr 16:00-23:00; Sa 13:00-23:00; Su 13:00-21:00,23rd Street,39-28,,restaurant,,,restaurant
Mighty Quinns Barbeque,40.7368066,-74.001398,,,,,Greenwich Avenue,75,,restaurant,,,restaurant
Morandi,40.7353587,-74.0014906,italian,,,Mo-Fr 12:00-23:30; Sa 11:00-23:30; Su 11:00-22:30,,,,restaurant,,,restaurant
The Waverly Inn,40.7369557,-74.002226,american,+19178281154,http://www.waverlynyc.com,Mo-Th 18:00-00:00; Fr 18:00-01:00; Sa 11:00-01:00; Su 11:00-00:00,Bank Street,16,New York,restaurant,,,restaurant
Sweet Talk,40.6712414,-73.9910207,italian,+1-718-499-3400,,"Su-Th 17:00-22:30; Fr,Sa 17:00-23:30",3rd Avenue,457,,restaurant,,,restaurant
Sushi Tatsu,40.6776584,-73.9552749,"sushi, japanese, thai",+1-718-398-8828,http://www.sushitatsuii.com/,Mo-Th 11:00-23:00; Fr-Sa 11:00-23:30; Su 12:00-23:00,Franklin Avenue,609,,restaurant,,,restaurant
Cafe Cluny,40.7374393,-74.0039645,,+1 212 255 6900,https://www.cafecluny.com/,,West 12th Street,284,New York,restaurant,,,restaurant
Bobby Vans Grill,40.6479772,-73.790566,,,,,,,,restaurant,,,restaurant
Blossom- Chelsea,40.7454821,-74.0022829,,+1 212 627 1144,https://www.blossomnyc.com/,Su-Th 12:00-14:45; Fr-Sa 17:00-22:00,9th Avenue,187,New York,restaurant,,,restaurant
Patiala Indian Grill,40.753427,-73.9959744,indian,+1-212-564 8255,https://patialany.com/,,West 34th Street,371,,restaurant,,,restaurant
India House,40.6787455,-73.9498159,indian,+1-718-857-7011,http://indiahouserestaurantbk.com/,,Nostrand Avenue,586,Brooklyn,restaurant,,,restaurant
Il Punto Ristorante,40.7560797,-73.9945667,italian,+1 212 244 0088,http://ilpuntoristorante.com/,,,,,restaurant,,,restaurant
Ruby's Bar and Grill,40.5732504,-73.9801333,"burger, sandwich, chicken, american, ice_cream, hot_dog",,,,,,,restaurant,,,restaurant
Doña Zita,40.5748963,-73.9804635,mexican,,,Tu-Su 12:00-22:00;Mo off,Bowery Street,1221,,restaurant,,,restaurant
Beyond Sushi,40.7633124,-73.9772025,"sushi, asian",+1 646-964-5097,https://beyondsushi.com/,Mo-Su 11:30-21:30,West 56th Street,62,New York,restaurant,,,restaurant
The Crabby Shack,40.6772879,-73.9554258,seafood,+1-718-484-1507,https://thecrabbyshack.com,"Mo,We,Th 15:00-22:00; Fr 15:00-23:00; Sa 13:00-23:00; Su 15:00-21:00",Franklin Avenue,613,Brooklyn,restaurant,,,restaurant
Bocca di Bacco,40.7446167,-74.0029356,italian,+1 212 989 8400,https://www.boccadibacconyc.com/location/bocca-di-bacco-chelsea/,12:00-24:00,9th Avenue,169,New York,restaurant,,,restaurant
Sisters,40.6829726,-73.9650709,"american, brunch",+1-347-763-2537,https://www.sistersbklyn.com,,Fulton Street,900,Brooklyn,restaurant,,,restaurant
Pearl Indian Restaurant,40.67321,-73.9572049,indian,+1-718-622-9500,,"Mo-Th 11:30-15:30,17:00-22:30; Fr 11:30-15:30,17:00-23:30; Sa 12:00-23:00; Su 12:00-22:30",,,,restaurant,,,restaurant
Sushi Yashin,40.6708443,-73.9847247,sushi,+1-718-788-6789,https://www.yashinsushibrooklyn.com/,Mo-Su 14:30-21:15,5th Avenue,381,Brooklyn,restaurant,,,restaurant
Fonda,40.6635858,-73.9845425,mexican,+1-718-369-3144,https://fondarestaurant.com/park-slope/,Mo-Th 16:00-22:00; Fr 16:00-23:00; Sa 11:00-23:00; Su 12:00-21:00,7th Avenue,434,Brooklyn,restaurant,,,restaurant
